instance_id,average_message_length,avg_num_words_between_commands,avg_time_between_message_and_command,event_count,message_count,message_to_command_ratio,num_participants,num_turns,num_words_per_turn,ratio_of_commands_without_message,RP to CMD,CMD to NARR,RP to CMD or CMD to NARR,RP to CMD and CMD to NARR
1659192195-9e75cfbf-026b-48c9-a0af-86dcb473d6f0,6.875,6.470588235294118,15.30130279981173,98.0,65.0,0.2461538461538461,5.0,1.0,1.0,0.1875,-1,-1,-1,-1
1659363978-e80b5cc2-8c25-4941-a06f-93fc2eeebdab,3.1,3.1,17.650009049309624,52.0,34.0,0.2647058823529412,4.0,0.0,0.0,0.0,-1,-1,-1,-1
1659636185-2e756cb2-414d-4ec5-a1fe-255840fbe094,8.120689655172415,36.23076923076923,8.125330477952957,112.0,97.0,0.1237113402061855,9.0,0.0,0.0,0.3333333333333333,-1,-1,-1,-1
1659698900-690e94b7-4499-4938-9d9a-c64214434556,1.0,0.0833333333333333,19.49592657883962,58.0,37.0,0.2972972972972973,2.0,1.0,0.0,0.4545454545454545,-1,-1,-1,-1
1659704867-1bce5d6f-95a6-4c05-97d5-1e0c9374c66c,4.130434782608695,3.353982300884956,61.44360455232008,540.0,296.0,0.3783783783783784,4.0,25.0,11.36,0.0,-1,-1,-1,-1
1659718167-c48af682-738a-47fb-a61c-45aa9a846326,7.625,6.256410256410256,245.19515665620565,209.0,116.0,0.3275862068965517,3.0,15.0,14.333333333333334,0.1578947368421052,1,1,1,1
1659966381-cc6533de-ccc1-4836-a3d6-23293c2b4623,17.72632944228275,290.74468085106383,56.73954825623091,956.0,878.0,0.0523917995444191,17.0,0.0,0.0,0.0652173913043478,1,1,1,1
1659990681-1d79ab66-3a62-4543-9eb1-f0b47b20a401,7.569444444444445,22.70833333333333,53.82630960146586,694.0,499.0,0.1903807615230461,11.0,26.0,24.07692307692308,0.0526315789473684,1,-1,1,-1
1660066208-109a819c-95a0-432b-b1ba-bfe2a8987ccf,36.65714285714286,25.15686274509804,19.66354344844818,269.0,145.0,0.3448275862068966,2.0,21.0,53.85714285714285,0.0,1,1,1,1
1660074175-28530e99-d144-41ab-8579-5b3b6a87e6a2,1.0,0.5,32.77930881295885,124.0,81.0,0.2592592592592592,2.0,1.0,0.0,0.3333333333333333,-1,-1,-1,-1
1660142112-499c6e5b-bee1-4fa9-abc9-b8dfd8f6fb6e,1.2857142857142858,0.3461538461538461,1024.4517418356502,110.0,59.0,0.423728813559322,2.0,0.0,0.0,0.32,-1,-1,-1,-1
1660179252-7925b787-41f3-4ee5-bce5-f78be682cc67,2.9568345323741005,1.4781021897810218,842.1208495425014,1260.0,736.0,0.3709239130434782,7.0,55.0,7.345454545454546,0.0989010989010989,-1,-1,-1,-1
1660402545-b9599cc9-185e-4cc0-888b-d93edc8b4173,1.0,0.1666666666666666,12.98518133163452,53.0,31.0,0.3548387096774194,2.0,1.0,0.0,0.6363636363636364,-1,-1,-1,-1
1660481688-a011f173-d7e5-4736-8a77-d9e93246b61e,8.23943661971831,12.4468085106383,44.57186808237216,277.0,177.0,0.2598870056497175,7.0,15.0,36.13333333333333,0.108695652173913,1,-1,1,-1
1660527575-3b2f4845-ea5c-4bd6-a740-204ad4e2408b,19.375,28.526315789473685,78.07150616496801,226.0,135.0,0.2740740740740741,7.0,11.0,95.45454545454544,0.1351351351351351,1,-1,1,-1
1660678291-73b6453a-896e-45a0-b396-c3cf52cc9cc3,8.856020942408376,5.795045045045045,38850.91190267621,2246.0,1327.0,0.333835719668425,8.0,71.0,33.901408450704224,0.0428893905191873,-1,-1,-1,-1
1660690884-737263d2-c7c3-45b9-87be-f32f8dcaff90,1.0,0.1923076923076923,24.98290816942851,125.0,70.0,0.3571428571428571,2.0,7.0,0.4285714285714285,0.28,-1,-1,-1,-1
1660736989-ce646386-2ddf-42cb-84c5-3aa4aff6303c,1.5,0.2222222222222222,46.91143137878842,123.0,62.0,0.4193548387096774,2.0,2.0,1.0,0.3076923076923077,-1,-1,-1,-1
1660751618-feb692bc-c36a-4f1e-96af-c603186fd820,1.0,0.1111111111111111,8.994017879168192,88.0,46.0,0.3695652173913043,2.0,3.0,0.0,0.6470588235294118,-1,-1,-1,-1
1660844968-c60f84a6-dde7-4682-af87-064745ec7f9c,2.5,0.7692307692307693,14.493418469148525,131.0,69.0,0.3623188405797101,3.0,5.0,2.6,0.32,-1,-1,-1,-1
1661179315-c36d2019-84db-4b19-884e-61114e09575c,1.5,0.1578947368421052,15.271472891171774,81.0,41.0,0.4390243902439024,2.0,5.0,0.0,0.6666666666666666,-1,-1,-1,-1
1661186751-cb4dfae5-e82a-427c-aa91-eb8ccc89fa84,6.761363636363637,15.813333333333333,34.11066854163392,495.0,341.0,0.2170087976539589,9.0,5.0,57.4,0.0135135135135135,-1,-1,-1,-1
1661295767-4b432bd6-bffb-4d0d-b786-ecb46bbd336c,21.88,12.897435897435898,89.52265015244484,221.0,158.0,0.240506329113924,6.0,1.0,6.0,0.1578947368421052,-1,-1,-1,-1
1661417276-f54a77db-50d1-456f-86f0-ae6254dd19d1,3.363636363636364,1.7925636007827788,18840.320451024807,2074.0,1497.0,0.3406813627254509,80.0,1.0,0.0,0.3529411764705882,-1,-1,-1,-1
1661436999-07971d6a-c0dc-4a7c-95dc-f525da672a8a,4.926940639269406,39.23497267759563,0.4794461347244598,2643.0,2388.0,0.076214405360134,17.0,11.0,39.09090909090909,0.0,-1,-1,-1,-1
1661656281-aa7b9108-1364-4c71-8fe5-931fdafd7603,1.1666666666666667,0.2121212121212121,74.5054727130466,153.0,83.0,0.3855421686746988,3.0,10.0,0.6,0.15625,-1,-1,-1,-1
1661755462-3d7e958f-74f7-42ca-b0a1-a7d8ba4a3925,1.5454545454545454,0.325,396.82683022205646,198.0,109.0,0.3577981651376147,3.0,10.0,0.9,0.0,-1,-1,-1,-1
1661756471-54cd9518-09e9-42b8-a779-1c372b144120,8.277056277056277,8.535714285714286,172.20139636837433,1201.0,745.0,0.2993288590604027,10.0,60.0,31.383333333333333,0.0403587443946188,-1,-1,-1,-1
1661781652-a3cfb9dd-1ad0-4cc6-a5b0-bf099741ea26,2.0,0.1904761904761904,15.54542337145124,104.0,58.0,0.3448275862068966,2.0,4.0,0.0,0.65,-1,-1,-1,-1
1661781922-61f91908-3a55-4900-8872-3903d17f6cd5,1.0,0.3333333333333333,7.176414012908936,87.0,47.0,0.3617021276595745,2.0,3.0,0.6666666666666666,0.2941176470588235,-1,-1,-1,-1
1661789596-28231936-2dd2-45c6-81a5-a63b7e60f705,1.25,0.2631578947368421,18.528459456231857,106.0,54.0,0.3333333333333333,2.0,5.0,0.6,0.0,-1,-1,-1,-1
1661826170-815d4008-8f77-4f52-a945-f0856bcb2076,4.086021505376344,5.915966386554622,91.71911329251748,689.0,439.0,0.2687927107061503,8.0,13.0,27.46153846153846,0.0847457627118644,-1,-1,-1,-1
1662004646-e54c05a9-8c0a-49d9-a42d-acc5219ce5a4,8.927230046948356,72.78846153846153,30.78137015809818,1077.0,971.0,0.0525231719876416,17.0,7.0,51.0,0.0392156862745098,-1,-1,-1,-1
1662306246-9a523cbb-a995-4cc3-b8b2-61c6617b4c87,3.7222222222222223,0.5300546448087432,706.7347118571653,808.0,419.0,0.4343675417661098,7.0,40.0,2.4,0.3516483516483517,-1,-1,-1,-1
1662330628-5dc6bd35-7bff-4ece-8c89-ebf093825c44,6.782608695652174,12.782608695652174,52.751694701966784,149.0,102.0,0.2156862745098039,5.0,4.0,66.0,0.0454545454545454,-1,-1,-1,-1
1662379902-8f3956df-7161-4baf-9e81-b766cb212e87,1.0,0.0833333333333333,3.565538167953491,52.0,30.0,0.3666666666666666,2.0,2.0,0.0,0.9090909090909092,-1,-1,-1,-1
1662832588-ab0b6ae7-37cd-40c3-9986-c866b22d8d18,4.691489361702128,2.505813953488372,357.5833605565365,854.0,492.0,0.3475609756097561,9.0,38.0,11.210526315789474,0.0701754385964912,-1,-1,-1,-1
1662848650-1ce38d03-8a9c-412a-b22b-509cbda368f8,1.0,0.1538461538461538,29.86294742252516,118.0,57.0,0.4385964912280701,2.0,5.0,0.4,0.08,-1,-1,-1,-1
1663033030-b7f3405d-d547-4b66-b7f7-ab93b4e91ad0,17.964192139737992,135.08860759493672,48.43857580423355,1465.0,1318.0,0.0591805766312594,20.0,17.0,32.05882352941177,0.0769230769230769,1,-1,1,-1
1663272734-7af0c7ff-63a0-4b58-8416-9e55497c2b23,1.0,0.1428571428571428,1.3899145126342771,31.0,18.0,0.3333333333333333,3.0,0.0,0.0,0.8333333333333334,-1,-1,-1,-1
1663426100-7f309e58-6c0d-4051-9e85-51cad8c1f2f2,23.5,2.473684210526316,114.39728355407716,86.0,51.0,0.3529411764705882,7.0,6.0,7.666666666666667,0.5555555555555556,-1,-1,-1,-1
1663432607-ab0b4a19-5e48-456f-acfa-10d86402bfe7,2.571428571428572,0.85,75.75159446816696,80.0,45.0,0.4222222222222222,2.0,0.0,0.0,0.0,-1,-1,-1,-1
1663443520-ea5d3e05-f87f-424e-ba48-4949f961a952,9.0,2.2,361.8566265371111,121.0,66.0,0.3636363636363636,7.0,10.0,0.6,0.625,-1,1,1,-1
1663486546-d828b8e7-5eb7-4d62-8048-c4d0f18ab332,4.3580246913580245,8.641509433962264,13.590755107356053,404.0,287.0,0.181184668989547,4.0,10.0,37.2,0.0192307692307692,-1,-1,-1,-1
1663527255-393b76c6-1ba3-431a-98bc-9c55929db5c1,16.147345132743364,110.15853658536584,1666.599134999911,2910.0,2640.0,0.0617424242424242,31.0,18.0,27.55555555555556,0.0797546012269938,-1,-1,-1,-1
1663612895-dd813660-9ceb-4ed8-8e49-a1f840389fd7,6.115537848605578,10.220496894409935,75.32026166428392,2093.0,1468.0,0.2186648501362398,9.0,99.0,32.01010101010101,0.0249221183800623,1,1,1,1
1663643203-2193eaa0-c67d-4856-8e40-906170b22ccb,5.75,1.8888888888888888,1471.869698930985,2814.0,1488.0,0.4166666666666667,3.0,92.0,12.73913043478261,0.0048387096774193,-1,-1,-1,-1
1663784689-a2bd31a3-95f9-477d-81d2-c6da3e547c42,6.5,3.333333333333333,19.102277755737305,63.0,36.0,0.3055555555555556,4.0,3.0,9.0,0.4545454545454545,1,-1,1,-1
1663808559-4dff42bb-85b6-40ec-a369-b7780af252c4,1.8,0.9,11.704432527224222,94.0,54.0,0.3518518518518518,3.0,2.0,1.5,0.3684210526315789,-1,-1,-1,-1
1663980028-60e42cdb-9e24-44fe-8a08-01f0f9d7b15f,3.878260869565217,6.60377358490566,63.23354311732503,1040.0,669.0,0.2361733931240657,7.0,57.0,17.649122807017545,0.0253164556962025,-1,-1,-1,-1
1664168025-f2e7a349-d616-4755-9698-d2cfe4494450,6.249158249158249,14.104651162790695,32.53419831537065,683.0,498.0,0.1706827309236948,6.0,21.0,48.71428571428572,0.0117647058823529,1,1,1,1
1664182750-ed640494-4e19-492d-9a14-b95bbb26b67c,5.093023255813954,4.760869565217392,42.58683528786614,242.0,142.0,0.3169014084507042,3.0,3.0,49.0,0.0666666666666666,-1,-1,-1,-1
1664306509-9d145336-4024-4e42-aae8-863477596037,1.3333333333333333,0.1666666666666666,33.802499787012735,107.0,60.0,0.3833333333333333,2.0,3.0,0.3333333333333333,0.3478260869565217,-1,-1,-1,-1
1664334502-ce497bf7-7cbb-43ef-be8a-4820eff81dcc,28.75,19.166666666666668,216.38353528295244,88.0,56.0,0.3035714285714285,4.0,1.0,72.0,0.1764705882352941,1,-1,1,-1
1664378210-7cafde33-89ed-47b4-9e5c-8c056932ea2c,11.527272727272727,21.646153846153847,32.01426602204641,503.0,353.0,0.1813031161473088,11.0,15.0,47.06666666666667,0.0625,1,-1,1,-1
1664418369-072df41d-de35-409b-a3e2-b0f6a57066c9,11.5,0.4,4.072979092597961,25.0,17.0,0.2352941176470588,3.0,0.0,0.0,0.5,-1,-1,-1,-1
1664422852-a3e1b4a4-5b91-45dd-8f5e-8085d42c004a,5.986425339366516,13.582417582417582,33079.19749756192,604.0,459.0,0.196078431372549,10.0,1.0,0.0,0.0444444444444444,-1,-1,-1,-1
1664445092-a835f73a-f978-47e0-a5b2-2eb919368079,1.3333333333333333,0.2222222222222222,0.8515733480453491,77.0,46.0,0.3695652173913043,3.0,2.0,0.0,0.8823529411764706,-1,-1,-1,-1
1664483769-a102ef04-f825-4c6b-8dde-259da3ca924d,1.0,0.2105263157894736,14.339919726053871,83.0,42.0,0.4285714285714285,2.0,1.0,0.0,0.6666666666666666,-1,-1,-1,-1
1664631424-94aadffc-cf3f-4b1f-b293-69a6d7876383,1.5,0.5454545454545454,48.59506459236145,71.0,47.0,0.2127659574468085,2.0,3.0,0.6666666666666666,0.0,-1,-1,-1,-1
1664710729-ce084e31-0e5b-488a-b848-a4a1e3be2ae1,11.425531914893616,67.0625,70.33097297804696,162.0,132.0,0.1136363636363636,4.0,3.0,335.3333333333333,0.0666666666666666,-1,-1,-1,-1
1664872922-f5f17db5-e4f5-400c-a522-b25713c13d91,17.775811209439528,100.72268907563026,4062.373861025427,1878.0,1621.0,0.0727945712523133,15.0,18.0,34.72222222222222,0.0932203389830508,1,1,1,1
1664971647-f3087e59-2129-41e0-8fc7-7924aba58ed4,1.0,0.25,36.18946130652176,101.0,56.0,0.3392857142857143,2.0,3.0,1.0,0.0,-1,-1,-1,-1
1664996293-773da3e2-8ffa-401f-9490-812daec071d0,5.625754527162978,7.270758122743683,117.14709147516189,1756.0,1106.0,0.2495479204339963,8.0,73.0,26.19178082191781,0.0108695652173913,-1,-1,-1,-1
1665000558-a4249402-1e19-4923-9a67-a53e585eae83,2.6923076923076925,1.1162790697674418,179.36688138987566,394.0,218.0,0.3899082568807339,5.0,19.0,3.0526315789473686,0.1294117647058823,-1,-1,-1,-1
1665069351-43fa8494-36dc-4788-8119-aaef18d5cb80,8.694444444444445,4.863157894736842,41545.49425441506,804.0,498.0,0.3795180722891566,8.0,2.0,303.0,0.0793650793650793,-1,-1,-1,-1
1665074964-c6ff187c-307a-43c5-9023-8e7c0fd562f8,3.8461538461538463,2.2857142857142856,15.212630021572114,102.0,56.0,0.3571428571428571,3.0,2.0,5.5,0.0,-1,-1,-1,-1
1665430249-b800a754-a881-4335-b735-8a1388a21a7c,10.511627906976743,4.328947368421052,59.39433541432233,392.0,183.0,0.4098360655737705,4.0,14.0,19.5,0.0533333333333333,-1,-1,-1,-1
